rf,ef,ab,gb,Probability
0.005,0,0.494295,0.011817,0.011215755
0.005,0,0.494078,0.010657,0.006855927
0,0.02,0.493411,0.007509,0.005531379
0.035,0.04,0.496934,0.072107,0.073906758
0.145,0.015,0.49616,0.163246,0.081527174
0,0,0.493798,0.007879,0.005130488
0.025,0.02,0.496644,0.056399,0.034277196
0.265,0.105,0.497864,0.132542,0.103329621
0.02,0.08,0.495824,0.035131,0.040108132
0.53,0.53,0.501006,0.562908,0.518126917
0.06,0.06,0.496181,0.058493,0.076355924
0.03,0.005,0.496591,0.098488,0.085482266
0.025,0,0.495019,0.021114,0.032515587
0.035,0.085,0.495383,0.017054,0.047125175
0.025,0.07,0.496124,0.042201,0.04281035
0,0,0.493888,0.008475,0.006049141
0.42,0.295,0.500601,0.416746,0.359876287
0.22,0.125,0.495019,0.028705,0.05787586
0.005,0,0.494241,0.009446,0.008513778
0.02,0.02,0.495444,0.02913,0.041984791
0,0,0.493249,0.006667,0.004862596
0.13,0.19,0.497225,0.085935,0.079406438
0.075,0.08,0.495908,0.036561,0.060339134
0.025,0.01,0.493696,0.009774,0.007038525
0.565,0.495,0.497225,0.5182,0.40409695
0.005,0,0.494933,0.012819,0.011128277
0.015,0,0.493903,0.011225,0.009974226
0.015,0.04,0.494756,0.013257,0.011028944
0.03,0,0.496346,0.060822,0.06567534
0,0,0.494124,0.010235,0.007924375
0.065,0.04,0.496788,0.084881,0.089013808
0,0.005,0.495007,0.015526,0.017691239
0.055,0.205,0.496377,0.059158,0.066507798
0.045,0.01,0.494667,0.016209,0.038919965
0.055,0.035,0.496306,0.043696,0.039648883
0.46,0.495,0.499159,0.327828,0.378245833
0.065,0.06,0.496681,0.061528,0.049272554
0.095,0.23,0.495296,0.026326,0.024684198
0.035,0.025,0.495336,0.018781,0.017714082
0,0,0.494525,0.013036,0.009602682
0,0,0.493708,0.00867,0.005649207
0.06,0.025,0.496381,0.063598,0.048393575
0,0,0.493197,0.006734,0.004882464
0,0.005,0.493717,0.011913,0.010793029
0.05,0.08,0.495243,0.022096,0.059974388
0.005,0.005,0.494957,0.025702,0.026155904
0.045,0.01,0.494568,0.012174,0.018258674
0.025,0,0.49491,0.014289,0.011909866
0.01,0.02,0.495883,0.035131,0.026761423
0.05,0.065,0.496426,0.064961,0.065487775
0,0.025,0.495885,0.020319,0.026782702
0.045,0,0.495222,0.016663,0.024401221
0.04,0.015,0.495058,0.019436,0.034625306
0.485,0.51,0.501182,0.480444,0.492233333
0.03,0.255,0.495211,0.017321,0.014762918
0,0,0.494788,0.013031,0.012607754
0,0,0.493686,0.006878,0.008564507
0.01,0.07,0.494431,0.011728,0.013137667
0.07,0.03,0.496952,0.109286,0.111674832
0.03,0,0.496235,0.045527,0.035812018
0.005,0,0.494354,0.011759,0.011003447
0.095,0.07,0.497578,0.116708,0.119050457
0,0,0.493518,0.006335,0.006086298
0.035,0.005,0.495057,0.016339,0.026993333
0.515,0.81,0.500705,0.439566,0.340440601
0.02,0.055,0.495603,0.02855,0.065353216
0.01,0,0.495149,0.020609,0.015054789
0.04,0.02,0.495482,0.022515,0.021523742
0.54,0.365,0.501733,0.658335,0.570365001
0.035,0.01,0.496038,0.040101,0.04214856
0.065,0.075,0.497238,0.112594,0.09133099
0,0.005,0.494168,0.010776,0.011844955
0,0,0.494181,0.01074,0.009821191
0.015,0.015,0.493924,0.008963,0.00893354
0.11,0.065,0.496999,0.088276,0.079102766
0,0.02,0.494866,0.015727,0.0194845
0.095,0.05,0.496664,0.076906,0.08340226
0.01,0,0.493874,0.00813,0.00530328
0.005,0.005,0.494727,0.013896,0.014919608
0.025,0.005,0.496101,0.035122,0.041314398
0.495,0.45,0.499856,0.423381,0.428904701
0.085,0.15,0.497597,0.118174,0.094770858
0.02,0,0.494499,0.012169,0.018266315
0.03,0.07,0.495752,0.037204,0.029305661
0.04,0.02,0.49681,0.070412,0.060228039
0,0.015,0.493631,0.008764,0.009905245
0.075,0.04,0.495515,0.025254,0.022691821
0.04,0.055,0.49458,0.012913,0.018215697
0.125,0.025,0.49598,0.03824,0.053795111
0.195,0.215,0.500012,0.374848,0.344094579
0.175,0.325,0.49765,0.145663,0.186582539
0.145,0.02,0.496871,0.061885,0.070704074
0.005,0,0.495462,0.021467,0.016678502
0.615,0.67,0.501275,0.473992,0.492033333
0.22,0.16,0.49707,0.106998,0.094773279
0.055,0.1,0.496471,0.050848,0.035265375
0.005,0,0.494433,0.009278,0.009697988
0.035,0,0.495518,0.02438,0.025748155
0.04,0.095,0.496414,0.068361,0.118858711
0.01,0.025,0.494975,0.026768,0.026314177
0.02,0.02,0.494533,0.013141,0.023301318
0,0,0.495382,0.028383,0.02489726
0.025,0.01,0.494632,0.014074,0.017037008
0.08,0.07,0.497029,0.0797,0.069909607
0.06,0.04,0.49584,0.081749,0.133650085
0,0,0.493802,0.009097,0.007663744
0.33,0.295,0.498684,0.276661,0.342398368
0.16,0.095,0.497709,0.130344,0.095596818
0.01,0,0.493791,0.009423,0.011184321
0.055,0.095,0.496108,0.039203,0.032448595
0.035,0.055,0.495466,0.020448,0.019167923
0.455,0.48,0.500137,0.460093,0.421633011
0.005,0,0.494809,0.014644,0.028682798
0,0.01,0.493335,0.006354,0.010740055
0.05,0.025,0.496468,0.057154,0.037893375
0,0.005,0.495454,0.02105,0.01969322
0,0,0.495052,0.018942,0.017676993
0,0,0.494945,0.026338,0.036509879
0.115,0.035,0.496615,0.063385,0.056412775
0.005,0.16,0.495091,0.016543,0.014489272
0.01,0.01,0.49635,0.035827,0.052382766
0.04,0.005,0.494824,0.015165,0.015845865
0,0,0.493382,0.00785,0.0050585
0,0.005,0.494028,0.010582,0.01169445
0.07,0.04,0.495737,0.032476,0.038716423
0.005,0.215,0.494772,0.015743,0.016285855
0,0.005,0.494065,0.010338,0.008699214
0.31,0.325,0.498024,0.224828,0.326844862
0.035,0.195,0.495532,0.020686,0.040575341
0,0,0.495247,0.018466,0.021067107
0,0.02,0.494477,0.010868,0.008587123
0,0,0.495064,0.029167,0.030257593
0.12,0.085,0.495708,0.039681,0.064602038
0,0.005,0.494076,0.010842,0.008258513
0.01,0,0.493676,0.008876,0.012559095
0,0,0.493062,0.007335,0.005691294
0.005,0.005,0.494278,0.011722,0.009385126
0.08,0.055,0.496244,0.090618,0.137395148
0.295,0.28,0.497583,0.113544,0.141382751
0,0.01,0.49342,0.007639,0.005125926
0.085,0.02,0.496341,0.049399,0.027515262
0.005,0.005,0.494757,0.013932,0.012291092
0,0,0.494484,0.008604,0.011188913
0.005,0,0.494612,0.012619,0.014050479
0.015,0.01,0.495214,0.019372,0.020230868
0,0,0.494667,0.015213,0.014798738
0.02,0,0.495482,0.026069,0.029022618
0.085,0.12,0.495323,0.026393,0.030292626
0.065,0.07,0.496228,0.040817,0.046805871
0.005,0.015,0.494222,0.012196,0.018912881
0.065,0.03,0.494872,0.018268,0.018072486
0.05,0.02,0.495769,0.030621,0.050981753
0.32,0.575,0.496123,0.072352,0.129832851
0,0.015,0.494391,0.011022,0.008814625
0.35,0.665,0.494947,0.020185,0.033597238
0,0,0.493435,0.007238,0.009627406
0.03,0.06,0.496715,0.078761,0.055394803
0.01,0.005,0.494818,0.017412,0.021064174
0.025,0.015,0.495085,0.018568,0.015375486
0.01,0,0.495446,0.024451,0.020119136
0.03,0.045,0.4947,0.013692,0.016629877
0.05,0.02,0.496185,0.054846,0.055290896
0,0,0.494259,0.008289,0.015581401
0.005,0,0.494119,0.0109,0.009768756
0,0,0.493406,0.007274,0.011933462
0,0,0.493789,0.00761,0.006434064
0.05,0.125,0.49587,0.046626,0.05795591
0,0,0.493559,0.009509,0.007335138
0.26,0.29,0.498413,0.243035,0.276625732
0.04,0.015,0.495168,0.027235,0.026800888
0.015,0.09,0.494777,0.021075,0.020858362
0.03,0.02,0.495262,0.020543,0.032090038
0.015,0.005,0.495046,0.020187,0.017609572
0,0,0.493398,0.007638,0.008292085
0.01,0,0.494279,0.011146,0.01275209
0.015,0.015,0.494848,0.020666,0.018764295
0.19,0.17,0.498389,0.233087,0.2256062
0.075,0.04,0.496344,0.066325,0.071377348
0,0,0.494072,0.010373,0.00874365
0,0,0.493007,0.005484,0.006898099
0,0,0.492937,0.005778,0.005232459
0.01,0.105,0.494125,0.010935,0.015033691
0.01,0.025,0.495364,0.025823,0.026302351
0.11,0.22,0.497438,0.098993,0.098911157
0.05,0.025,0.495423,0.020385,0.028335961
0,0.045,0.495955,0.033396,0.033356023
0.055,0.175,0.495028,0.015879,0.017616227
0,0.03,0.494509,0.012247,0.015922444
0,0,0.494178,0.01183,0.01086522
0.520352,0.5,0.500184,0.379864,0.37712881
0.27,0.26,0.499428,0.337672,0.370613271
0,0,0.493638,0.008378,0.009713986
0.015,0.015,0.49542,0.031652,0.026355461
0.02,0.02,0.496717,0.067588,0.046139938
0.065,0.08,0.496948,0.112189,0.072158777
0.02,0.025,0.496381,0.034507,0.031010582
0.005,0,0.493269,0.007441,0.005273827
0.035,0.015,0.494867,0.015539,0.017438509
0.01,0.06,0.495626,0.028053,0.028377348
0.065,0.02,0.496646,0.047579,0.037260121
0.005,0.005,0.493736,0.009266,0.005816543
0.01,0.005,0.494181,0.01058,0.013103309
0.015,0.215,0.495206,0.019463,0.025808905
0.355,0.45,0.498464,0.185579,0.268098139
0.03,0.025,0.49584,0.035706,0.034024884
0,0.005,0.494086,0.010671,0.00603774
0.03,0.025,0.495332,0.023444,0.024836273
0.06,0.03,0.496774,0.070617,0.073643265
0.005,0,0.494864,0.012577,0.019504025
0.03,0.055,0.495947,0.039435,0.061426172
0.105,0.05,0.497085,0.067251,0.055155889
0.085,0.165,0.496996,0.076457,0.071749569
0,0,0.49375,0.009768,0.010437938
0.01,0.015,0.494331,0.01119,0.009489722
0.08,0.06,0.496432,0.05591,0.047110851
0.025,0.005,0.495456,0.028799,0.018010627
0,0,0.493413,0.007176,0.005373314
0.005,0.005,0.493871,0.010076,0.010560818
0.03,0,0.49399,0.008775,0.018316184
0.035,0.005,0.496862,0.052919,0.073744564
0,0,0.495554,0.02038,0.020914606
0.55,0.625,0.498672,0.303233,0.337376252
0.035,0,0.494948,0.012262,0.01086535
0,0,0.493,0.006293,0.00559098
0.035,0,0.494606,0.012537,0.01229696
0.11,0.05,0.498667,0.186248,0.202783095
0,0,0.492761,0.005648,0.004377211
0.34,0.305,0.500606,0.488825,0.469834619
0.05,0.025,0.497486,0.109339,0.087768179
0.045,0.005,0.494684,0.014942,0.01757599
0.07,0.04,0.496634,0.066559,0.044538827
0.015,0,0.494358,0.015263,0.012898332
0,0.005,0.493729,0.009526,0.009087477
0.015,0,0.494323,0.012731,0.016544108
0.015,0.005,0.493892,0.010395,0.005657361
0.065,0.015,0.495212,0.019391,0.026274108
0.005,0.005,0.493406,0.007475,0.005392647
0.045,0.02,0.494914,0.026776,0.02755601
0.005,0.035,0.495441,0.056756,0.086814309
0.09,0.1,0.496088,0.041941,0.060734438
0.055,0.035,0.494787,0.013759,0.013340537
0.035,0.01,0.495269,0.027638,0.020965854
0.055,0.035,0.495568,0.036737,0.036055039
0.16,0.335,0.497089,0.092493,0.085717155
0.015,0.04,0.495976,0.042024,0.029308124
0.03,0.005,0.496475,0.03433,0.042063
0.04,0.07,0.496609,0.058433,0.089944312
0.035,0,0.496092,0.054386,0.052275887
0.015,0.005,0.494439,0.015219,0.016468213
0.015,0,0.494785,0.016797,0.021062531
0.01,0,0.493775,0.008246,0.008171485
0.135,0.07,0.498001,0.169272,0.145046118
0.05,0.03,0.497617,0.130406,0.098372167
0,0.01,0.495737,0.035217,0.027882949
0.075,0.055,0.49527,0.078246,0.138721946
0.035,0.045,0.496712,0.067014,0.065047317
0.08,0.085,0.496545,0.03662,0.050625414
0,0.015,0.494416,0.013399,0.010579037
0,0.005,0.494958,0.012176,0.016074565
0.115,0.1,0.497714,0.119565,0.114250241
0.005,0,0.494472,0.011422,0.010300235
0.025,0,0.495196,0.023242,0.017554117
0.08,0.135,0.495457,0.032378,0.065920184
0.07,0.06,0.498333,0.194064,0.103045834
0.015,0.01,0.496479,0.046847,0.041702567
0,0,0.494444,0.013703,0.01134395
0,0,0.493733,0.009073,0.009921686
0.065,0.02,0.493213,0.007098,0.006566718
0.11,0.025,0.496497,0.077753,0.056835551
0.055,0.02,0.496742,0.06868,0.07296216
0.015,0.005,0.495317,0.028882,0.031900061
0.01,0.02,0.496476,0.04296,0.036354318
0.045,0.03,0.49637,0.043099,0.040802424
0.295,0.34,0.4975,0.123638,0.227962613
0.005,0.005,0.495221,0.016382,0.019111271
0.045,0.03,0.496754,0.061326,0.046568425
0,0,0.493491,0.007542,0.006147661
0.685,0.735,0.502524,0.689969,0.631919913
0,0,0.493737,0.008123,0.005511191
0,0,0.493023,0.005854,0.007056195
0.005,0.025,0.49624,0.038273,0.034297627
0,0,0.495537,0.03266,0.023078527
0.53,0.46,0.500735,0.639537,0.489354612
0.005,0,0.495446,0.020323,0.022496584
0.02,0.025,0.495808,0.039083,0.028914264
0.005,0,0.494295,0.012102,0.015901656
0.245,0.335,0.496182,0.044692,0.046292508
0,0,0.493974,0.00766,0.01110913
0.02,0.005,0.495798,0.025639,0.03863488
0.005,0.015,0.495295,0.019273,0.021330558
0.535,0.55,0.501189,0.634967,0.577739916
0,0,0.49292,0.005854,0.004564366
0.045,0.065,0.494749,0.012204,0.021880321
0.1,0.025,0.49741,0.107601,0.100844784
0,0,0.493149,0.006232,0.004227898
0,0,0.493713,0.00846,0.010021141
0.61,0.8,0.499491,0.355754,0.32154756
0,0,0.493817,0.008689,0.008187535
0.285,0.455,0.49862,0.366817,0.357631668
0.005,0.005,0.494706,0.016235,0.012609171
0.005,0,0.493918,0.009348,0.009454239
0,0,0.49442,0.011779,0.011746073
0.055,0.095,0.496492,0.058354,0.057356346
0.125,0.13,0.496005,0.068293,0.09963693
0.165,0.095,0.49811,0.134245,0.17761515
0.065,0.155,0.496939,0.065549,0.058529285
0.005,0,0.495175,0.017695,0.03030627
0.045,0.07,0.495996,0.022896,0.026579547
0.11,0.175,0.496223,0.056055,0.04928071
0,0,0.493882,0.01018,0.007956493
0.025,0.01,0.495227,0.020801,0.027745771
0.005,0,0.494071,0.009471,0.016384662
0.135,0.05,0.497874,0.141161,0.13564663
0,0,0.493088,0.006667,0.005221231
0.01,0.005,0.495003,0.017167,0.027265052
0.025,0.01,0.495285,0.014453,0.021547076
0,0.005,0.493894,0.008941,0.01009412
0.01,0.005,0.494896,0.015097,0.013272375
0.02,0,0.496206,0.039022,0.026580499
0.01,0,0.49439,0.01187,0.012891574
0.04,0.005,0.497559,0.098488,0.078206779
0.02,0,0.494795,0.014472,0.008492072
0.005,0.01,0.495814,0.033337,0.028484901
0.015,0.01,0.494958,0.020174,0.013080581
0.02,0.015,0.495013,0.015364,0.016371813
0.015,0,0.49422,0.011043,0.010940691
0.005,0.035,0.495343,0.025258,0.027386838
0.03,0.045,0.495284,0.028819,0.065651204
0.045,0.06,0.497383,0.100611,0.077874054
0,0,0.493824,0.008093,0.005338596
0,0,0.493126,0.005778,0.007423987
0.02,0,0.49598,0.056438,0.096946239
0,0,0.493342,0.00733,0.003983978
0.01,0.01,0.494596,0.013281,0.013801649
0.025,0.005,0.493409,0.007771,0.006082206
0.005,0.025,0.494446,0.01311,0.012795797
0.03,0.105,0.494834,0.022309,0.032631328
0.055,0.015,0.49546,0.023,0.021476155
0.03,0.015,0.495776,0.040028,0.034629257
0.025,0.015,0.496296,0.035529,0.063088855
0.11,0.045,0.496406,0.05988,0.058529088
0.06,0.11,0.49599,0.03833,0.035123559
0.095,0.155,0.495352,0.020329,0.021052699
0.665,0.515,0.500273,0.554915,0.542704896
0.04,0.01,0.495458,0.029454,0.026492388
0.025,0.03,0.496681,0.062535,0.061237515
0.045,0.005,0.494605,0.013472,0.018180777
0.01,0.005,0.49416,0.012078,0.011761413
0.09,0.36,0.498336,0.237706,0.18604675
0.25,0.21,0.497647,0.152795,0.125255137
0.055,0.02,0.494985,0.021664,0.029997981
0.015,0.025,0.496916,0.069932,0.068942378
0.005,0,0.494328,0.014663,0.012456891
0,0,0.494469,0.013028,0.013139459
0.016667,0.01,0.497872,0.10235,0.106207547
0.01,0,0.494413,0.010474,0.010876261
0.05,0.015,0.496876,0.080922,0.079198413
0,0,0.493673,0.007242,0.006812262
0.015,0.065,0.495056,0.017261,0.01593161
0.015,0.01,0.494938,0.014397,0.016339418
0.07,0,0.495477,0.027953,0.034706717
0,0.005,0.494278,0.013916,0.016022385
0.01,0.02,0.494287,0.009318,0.012349108
0.055,0.055,0.497292,0.083262,0.083101582
0.02,0.01,0.496458,0.067906,0.072067563
0,0,0.49401,0.008609,0.005567936
0.14,0.13,0.496281,0.059121,0.065572841
0.035,0.055,0.49511,0.015596,0.013789385
0.015,0,0.493816,0.008547,0.009925567
0.03,0.05,0.493882,0.008689,0.011134992
0,0,0.493951,0.009761,0.005861681
0.005,0.01,0.495654,0.025275,0.016521344
0,0,0.493632,0.00691,0.004684711
0.05,0.03,0.496594,0.066558,0.065460362
0.02,0.035,0.494709,0.015002,0.017996539
0.115,0.095,0.497377,0.103603,0.112607603
0.03,0.01,0.495174,0.018152,0.012512204
0.015,0.03,0.49431,0.013157,0.007785498
0.265,0.125,0.498123,0.16802,0.226448159
0.03,0.095,0.495967,0.053575,0.051745957
0.02,0.055,0.496001,0.043414,0.044918877
0.395,0.145,0.498223,0.205643,0.227095224
0.115,0.19,0.496496,0.058667,0.048935555
0.06,0.045,0.496117,0.05257,0.046240311
0.02,0.015,0.495418,0.02598,0.043036311
0.355,0.225,0.498931,0.448544,0.335982812
0.04,0.145,0.495419,0.018983,0.021478929
0,0,0.494921,0.014471,0.015834402
0.01,0,0.494266,0.011701,0.013417136
0.055,0.075,0.495665,0.036703,0.04908458
0.075,0.065,0.496599,0.058462,0.057155487
0.015,0.11,0.496146,0.055669,0.052654861
0.445,0.7,0.500759,0.546866,0.483696803
0.065,0.015,0.496416,0.039223,0.035626947
0.015,0,0.493272,0.006535,0.008471556
0.045,0.19,0.49703,0.117554,0.126232449
0.035,0.05,0.49716,0.085394,0.069650069
0,0,0.493922,0.010525,0.007515758
0.035,0.01,0.494034,0.013371,0.014892925
0,0.005,0.49451,0.014132,0.012417416
0,0,0.493381,0.007014,0.005269407
0.04,0,0.495267,0.026194,0.034717027
0.035,0.035,0.496026,0.02895,0.030863855
0,0,0.493413,0.007026,0.006159729
0.05,0.015,0.497133,0.0718,0.073304084
0.02,0,0.495005,0.019548,0.048317166
0,0.005,0.494419,0.011109,0.010366345
0,0,0.493216,0.007832,0.005479161
0,0,0.49392,0.00878,0.025195805
0,0.005,0.494401,0.012413,0.009944051
0.08,0.02,0.4969,0.071479,0.05825583
0.035,0,0.494329,0.012328,0.011969098
0.01,0,0.494699,0.012437,0.018477548
0.06,0.04,0.496663,0.070698,0.068764562
0,0,0.495016,0.015709,0.014058801
0.005,0,0.493997,0.00931,0.0089346
0.03,0.045,0.496628,0.068597,0.073139054
0.005,0.045,0.494271,0.008908,0.016760031
0.035,0.14,0.496637,0.062915,0.066352852
0.115,0.115,0.495678,0.038312,0.026467302
0,0.02,0.494244,0.010626,0.011934915
0.005,0.005,0.494365,0.011513,0.009136421
0.035,0,0.495186,0.016397,0.024647303
0.025,0.005,0.496263,0.060184,0.07349802
0.015,0.03,0.496011,0.040009,0.056969685
0.01,0.01,0.495837,0.040727,0.037020955
0.07,0.06,0.496763,0.072992,0.078584605
0,0.03,0.49489,0.01451,0.013716529
0.025,0.01,0.495269,0.029624,0.034908559
0,0,0.495447,0.028965,0.021039549
0.04,0,0.496811,0.047357,0.056295138
0.015,0.005,0.495622,0.030365,0.023015211
0.12,0.035,0.496524,0.076921,0.086267183
0.015,0,0.494214,0.008141,0.006379052
0,0,0.493831,0.008064,0.007300859
0,0,0.493934,0.008913,0.006819935
0.134583,0.555,0.498589,0.288952,0.325979971
0,0,0.494006,0.008345,0.009463056
0.005,0,0.493699,0.01012,0.007323976
0,0,0.493271,0.006615,0.004697766
0,0.005,0.493653,0.009522,0.008149217
0,0,0.494311,0.009078,0.005444785
0.035,0.005,0.496401,0.055253,0.049322955
0.01,0.005,0.495878,0.028602,0.022477977
0,0,0.494149,0.009053,0.008259583
0,0,0.493365,0.006873,0.004631122
0.085,0.095,0.497774,0.204242,0.197806176
0,0,0.492987,0.006428,0.004733265
0,0,0.493955,0.008787,0.00829756
0,0,0.494383,0.011839,0.012362318
0.025,0.03,0.495296,0.023543,0.037942881
0.01,0,0.495126,0.020173,0.017609225
0.23,0.415,0.496986,0.088886,0.071935439
0.06,0.155,0.495346,0.023632,0.043379011
0.015,0.04,0.494207,0.010407,0.012505369
0.47,0.305,0.497958,0.233831,0.306946151
0.02,0,0.494363,0.011474,0.011313364
0.035,0.005,0.495394,0.022502,0.022443642
0.415,0.34,0.498545,0.228176,0.244356577
0.195,0.08,0.497705,0.194392,0.202799197
0.07,0.085,0.497069,0.090934,0.106014876
0,0.005,0.495415,0.014772,0.017697353
0,0,0.494553,0.011659,0.013093713
0,0.005,0.494279,0.011068,0.012216422
0.01,0,0.494301,0.007022,0.020249579
0.065,0.055,0.496939,0.058834,0.070921214
0.005,0,0.493724,0.010214,0.009177852
0.01,0.04,0.494396,0.013983,0.015070525
0.02,0.005,0.494579,0.013832,0.01784524
0.015,0,0.494002,0.010744,0.010855335
0.015,0.105,0.495141,0.017648,0.021517798
0.095,0.045,0.497182,0.091998,0.104079333
0.415,0.325,0.499721,0.426489,0.439649294
0.345,0.255,0.497289,0.177023,0.245883908
0,0,0.49443,0.011356,0.022985465
0.555,0.4,0.500294,0.504137,0.470420644
0,0,0.494862,0.017298,0.019466653
0.015,0.03,0.496335,0.052355,0.039337614
0.005,0,0.494097,0.010376,0.015979438
0.025,0.015,0.495597,0.040925,0.042303012
0.055,0.045,0.494466,0.0143,0.018586001
0.075,0.22,0.497576,0.070762,0.090663213
0,0.005,0.493586,0.007682,0.005195339
0.03,0.02,0.494695,0.01276,0.0258627
0.045,0.045,0.495579,0.031138,0.057944254
0.005,0.06,0.49423,0.010448,0.012440526
0.015,0,0.496427,0.058492,0.060282294
0.01,0,0.493936,0.009923,0.011533475
0.03,0.045,0.495781,0.02628,0.050568088
0,0,0.493395,0.005902,0.004818455
0.16,0.165,0.496359,0.067214,0.054772899
0,0,0.492828,0.005778,0.005419526
0.03,0.02,0.494744,0.015353,0.019576944
0,0,0.493427,0.007453,0.005526863
0.03,0.04,0.495232,0.021791,0.030577245
0,0,0.494584,0.012769,0.01530984
0.11,0.105,0.497643,0.132386,0.154103752
0.075,0.115,0.49643,0.056794,0.058613908
0.12,0.055,0.496725,0.079016,0.065748331
0.02,0,0.494865,0.014169,0.012573178
0.035,0.01,0.493809,0.008774,0.010010658
0.025,0.01,0.495529,0.029627,0.057677881
0.045,0.005,0.495043,0.020847,0.021723535
0.005,0.025,0.494521,0.012247,0.010614321
0.035,0.025,0.495389,0.026753,0.024951629
0.07,0.34,0.493491,0.008164,0.015836522
0.02,0.005,0.496256,0.048572,0.036363805
0.2,0.33,0.498571,0.262014,0.268620608
0,0,0.494129,0.011305,0.009211294
0.01,0.015,0.495582,0.024047,0.023148822
0.035,0.01,0.49617,0.044426,0.039976267
0.01,0,0.493835,0.008964,0.008873789
0.045,0.01,0.494968,0.017678,0.038191059
0.015,0,0.494859,0.013516,0.01192383
0.22,0.1,0.498621,0.236321,0.278822454
0.01,0,0.493783,0.007494,0.010163642
0.015,0.025,0.495196,0.017974,0.016728275
0.005,0,0.494839,0.013937,0.019480496
0.01,0,0.49459,0.012971,0.011717831
0.005,0.015,0.495046,0.019694,0.018813024
0.025,0.01,0.494534,0.01125,0.024425157
0.025,0,0.496904,0.068622,0.039680167
0.14,0.055,0.497151,0.074863,0.079320588
0.145,0.205,0.497834,0.146852,0.161971544
0.005,0.01,0.495658,0.018488,0.024331441
0,0,0.494329,0.00872,0.007730057
0,0,0.495587,0.024519,0.01380845
0,0,0.493285,0.00691,0.004935071
0.29,0.145,0.49748,0.127742,0.135062984
0.025,0.02,0.496896,0.060684,0.067163982
0.005,0,0.495614,0.029575,0.033921237
0.005,0,0.494105,0.010324,0.009908515
0,0.02,0.495104,0.020374,0.017111807
0.375,0.45,0.498817,0.489346,0.368766667
0.01,0,0.495044,0.014272,0.019512004
0.04,0.04,0.49433,0.009115,0.018575418
0,0,0.49366,0.008253,0.004930299
0.01,0.02,0.494536,0.011961,0.014329332
0.015,0,0.494837,0.012661,0.013823598
0.4,0.475,0.499105,0.268597,0.320851006
0.01,0,0.494825,0.025366,0.04486636
0,0,0.495158,0.016338,0.015743635
0.07,0.225,0.49706,0.0717,0.066129769
0.01,0.01,0.49397,0.010045,0.010092265
0,0,0.49342,0.007098,0.004878735
0.13,0.1,0.497993,0.175122,0.129705213
0.02,0.005,0.494944,0.017683,0.012236492
0.035,0.02,0.495095,0.017788,0.017229078
0.01,0.05,0.495582,0.034976,0.030595803
0.04,0.11,0.49735,0.073131,0.071193033
0,0,0.493549,0.007014,0.006497205
0,0,0.495839,0.024768,0.02263355
0.005,0,0.493804,0.009009,0.005855817
0.005,0,0.495533,0.017975,0.024517545
0.005,0.005,0.493429,0.007068,0.004522167
0.06,0.12,0.495302,0.028019,0.04884754
0.04,0.02,0.495976,0.041834,0.038940287
0.01,0.025,0.494613,0.013187,0.009750513
0,0,0.495316,0.015932,0.012579588
0.005,0,0.494189,0.010994,0.009350959
0.06,0.045,0.495288,0.019554,0.047226407
0.02,0,0.49425,0.012715,0.014787041
0.285,0.285,0.500589,0.393243,0.3320756
0.07,0.115,0.496303,0.035914,0.060907526
0.025,0.01,0.495163,0.019159,0.010559305
0.295,0.21,0.499626,0.506603,0.472537577
0,0,0.493292,0.006091,0.005220885
0.01,0.005,0.495436,0.030023,0.032739742
0.68,0.595,0.501826,0.582897,0.667227056
0.775,0.645,0.502214,0.758563,0.718342857
0,0,0.494571,0.01332,0.014766591
0.015,0,0.494963,0.018487,0.020948463
0.145,0.11,0.497934,0.148186,0.139879569
0.01,0.095,0.494776,0.018993,0.016367384
0,0,0.493819,0.007022,0.007101072
0.175,0.22,0.496762,0.088429,0.070034162
0.005,0.005,0.494853,0.013917,0.014055528
0,0,0.493777,0.009332,0.010727229
0.04,0.045,0.496321,0.051417,0.069814023
0.005,0.005,0.495481,0.029748,0.020306653
0.045,0.025,0.495386,0.024831,0.026682434
0.615,0.63,0.50139,0.519509,0.597391228
0.155,0.28,0.49406,0.028692,0.054585966
0.01,0.03,0.495414,0.025778,0.030577876
0.045,0.045,0.496992,0.09324,0.075426069
0.11,0.14,0.496714,0.064964,0.057148437
0.14,0.1,0.496295,0.053184,0.040949731
0.07,0.035,0.496547,0.076001,0.073895902
0.01,0,0.494347,0.01327,0.009108319
0,0,0.494894,0.015741,0.020877909
0,0.005,0.494791,0.013445,0.012716879
0.341667,0.28,0.49931,0.333454,0.317407644
0,0,0.493977,0.010829,0.009719963
0.04,0,0.497528,0.105124,0.09381174
0.165,0.24,0.498002,0.182362,0.202816985
0.035,0.045,0.494396,0.014974,0.01979276
0.205,0.18,0.498216,0.135024,0.155381888
0.11,0.155,0.497585,0.086238,0.112286468
0.01,0.005,0.496929,0.095451,0.088734464
0.24,0.05,0.497649,0.113484,0.127674607
0.005,0,0.495663,0.032344,0.036058934
0.01,0.025,0.494398,0.010237,0.015187842
0.025,0,0.495533,0.029696,0.031561521
0.12,0.095,0.497437,0.120276,0.153329188
0.09,0.065,0.496582,0.075238,0.085359746
0.04,0.015,0.496559,0.07,0.057990599
0.015,0.025,0.495965,0.032867,0.032990673
0.14,0.15,0.498174,0.192487,0.209838315
0.01,0.005,0.494382,0.009989,0.010356717
